a,PRIORITY,DATE,ARTIST,TITLE,FORMAT,GENRE,Album Date,FOCUS TRACK,LABEL,DISTRIBUTOR,SPOTIFY URI ,ISRC,Apple ID,UPC/ Barcode,DESCRIPCIÓN,DESCRIPTION,LISTEN,VAULT LINK TO PHOTO,DSP HIGHLIGHTS,DROPBOX FOLDER,DSP NOTES
,Med,Mar 6,Daniel Avery,Tremor (Midnight Versions),Album,Electronic,,,Domino,,spotify:album:4A5zED6nmsJUnmtR0ZcS4n,,1860110978,887828056408,"Midnight Versions continúa el universo que Daniel construyó con el álbum original Tremor, presentando una reinterpretación más oscura y nocturna que conecta directamente con su audiencia techno. Cada track de Tremor fue reimaginado por Daniel y mezclado por Pearson Sound, uno de los productores más innovadores del Reino Unido. En palabras de Daniel: “Para cada temblor hay una reacción. Estas son las Midnight Versions: canciones reenviadas a la noche, edits de club pensados para la luz estroboscópica”.","Midnight Versions continues the world Daniel created with the original Tremor album, offering a darker, late-night reinterpretation that speaks directly to his techno audience. Each track on Tremor has been reworked by Daniel and mixed by one of the UK’s most innovative producers, Pearson Sound. In Daniel’s own words: “For every tremor there’s a reaction. These are the Midnight Versions. Songs reimagined and sent directly into the night. Club edits aimed squarely at the strobe light.",https://delivery.dominomusic.com/0c85a2ebc2204b29d8,,,,
,Med,Mar 6,From Ashed To New,Die For You,Single,"Rock, Hard Rock",,,,,,USDPK2500218,1860126456,810202534308,,,,,,,
,Rare,Mar 6,15 15,Mārara,EP,alternative,,Take Off Late,S76,Beggars,,,,,"Mārara se alza como la isla de la que toma su nombre: mítica, radiante y llena de ritmo. Es un debut conceptual que nace del espíritu colectivo de sus creadores, fluyendo entre el ritual y la realidad, y plasmando la vida de carnaval en sonido. Es cálido, comunitario y, sin duda, original. El álbum fue masterizado por Simon Lancelot (Dijon, Mk.gee) y ha tenido cobertura en medios como Crack, Dazed y Pitchfork, además de contar con el apoyo continuo de Jamz Supernova y Mary Anne Hobbs de BBC Radio 1.","Mārara rises like its namesake island - mythic, radiant, and full of pulse. A conceptual debut born from the collective spirit of its makers, it flows between ritual and reality, tracing carnival life in sound. Warm, communal, and defiantly original. Mastered by Simon Lancelot (Dijon, Mk.gee). Covered by Crack, Dazed, and Pitchfork, with continued support from BBC Radio 1’s Jamz Supernova & Mary Anne Hobbs.",,,,,
,High,Mar 6,War Child,Help2,Album,alternative,,Oasis - Aquiesce,War Child Records,Beggars,spotify:track:7sMkJj7BV3YZHsPYr7r6Fz ,,1878100301,,,,,,,,
,High,Mar 6,Marlon Magnee,Dark Star,Album,,,Viens en moi,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Med,Mar 9,Croz Boyce,Hanging Out With a Blueberry Pop,Single,Alternative,,,Domino,,spotify:track:1SlFNZ0cbfeBertOQxgzNW,GBCEL2500718,1875867982,887829157289,,,https://delivery.dominomusic.com/83525b9c97e5124c1f,,,,
,High,Mar 9,Anjimile,Rust & Wire,Single,alternative,,,4AD,Beggars,spotify:album:4fHXnGLM5xGiLuKp8QKvrj ,,1860276548,,"El cantautor indie Anjimile presenta su nuevo álbum You’re Free to Go (13 de marzo), adelantado por el sencillo final “Rust & Wire”, una pieza romántica que florece entre guitarras acústicas cálidas, texturas de sintetizador, cuerdas envolventes y delicadas capas rítmicas. El disco se consolida como un documento íntimo de autoexpresión y resonancia emocional. Producido por Brad Cook (Waxahatchee, Mavis Staples) y con aportes de miembros de Hippo Campus, Bon Iver e Iron & Wine, el proyecto ya cuenta con el respaldo de Pitchfork, Stereogum y Boston Globe, con perfiles próximos en The New York Times y SPIN. Con gira programada para 2026, Anjimile confirma su sensibilidad artística, descrita por Clash como alguien que “usa la ternura como un superpoder”.","Indie singer-songwriter Anjimile’s new LP You’re Free to Go (Mar 13), as w/ romantic final single “Rust & Wire”, blooms in warm acoustic guitars, synth textures, lush strings, & delicate rhythmic layers; an intimate document of self-expression, emotional resonance. Prod. by Brad Cook (Waxahatchee/Mavis Staples), ft. Hippo Campus, Bon Iver, Iron & Wine members. Pitchfork, Stereogum, Boston Globe support; upcoming NY Times, SPIN profiles. 2026 tour. “Uses tenderness as a superpower,” Clash.",,,,,
,Low,Mar 10,Magnolia Park,DANGEROUS,Single,"Rock, Alternative",,,Epitaph Records,,,,,,,,,https://epitaph.sharepoint.com/teams/EpitaphOrg/Shared%20Documents/Forms/AllItems.aspx?id=%2Fteams%2FEpitaphOrg%2FShared%20Documents%2FGeneral%2F%5FEpitaph%2FMagnolia%20Park%2F%5FPHOTOS%2FGeneral%20Use%20Photos&p=true&ga=1,,https://www.dropbox.com/scl/fo/faoxleejk3ng7azkj7p56/ADUutCQurrxFUl5QOoVzo3A?rlkey=3605g3lem4hssbdcakpjt1cb2&e=1&st=vm20vy1w&dl=0,
,High,Mar 10,Kim Gordon,Play Me,Single,rock,,,Matador,Beggars,,,,,,,,,,,
,Low,Mar 12,Kristin Hersh	,Sunny Border Blue - 25th Anniversary,Album,alternative,,,4AD,Beggars,,,,,,,,,,,
,High,Mar 13,Good Kid ,Cicada,Single,alternative pop,,,,,,,,199806109403,"Good Kid lanza su nuevo sencillo Cicada, con su álbum debut previsto para abril de 2026 y una gran gira mundial a continuación (con shows ya agotados). El nuevo sencillo es una canción de amor sobre una infatuación irresistible y el deseo de convertirse en una mejor persona por alguien nuevo. Con más de 800M de reproducciones, cuentan con una base de fans vibrante y comprometida: 318K en TikTok (varios videos con más de 4M), 387K en Instagram y 618K en YouTube (video viral: 20M). El lanzamiento está respaldado por una campaña de publicidad digital de $20K, prensa, radio, video oficial y marketing con influencers. Mood: alegre, feliz y enérgico.","Good Kid releases new single Cicada, debut album due in April 2026, large world tour to follow (sold out shows already). The new single is a love song about helpless infatuation and wanting to become a better person for someone new. With 800M+ streams, vibrant & engaged fans: 318K TT (multiple vids over 4M), 387KIG & 618KYT (viral vid: 20M). Supported by a $20K digital ad campaign, press, radio, official video & influencer marketing. Mood: Upbeat, Happy, Driving.",https://good-people-record-co.disco.ac/track-new/167390777?user_id=1250421&signature=al-vV82JAnvYNukTBn20RppBtHA%3A6szLtdQ8,,,,
Gaming Playlising,Med,Mar 13,Sabaton,Yamato,Single,Rock / Heavy Metal,,,Better Noise Music,,,,1873388475,810202537200,,,,,,,
,High,Mar 13,Tom Misch,Days Of Us,Single,"indie, alternative ",March 27th ,,AWAL ,,,,,,,,,,,,
,High,Mar 13,Magnolia Park,Nights After VAMP ,Album,"Rock, Alternative",,,Epitaph Records,,,,,,,,,https://epitaph.sharepoint.com/teams/EpitaphOrg/Shared%20Documents/Forms/AllItems.aspx?id=%2Fteams%2FEpitaphOrg%2FShared%20Documents%2FGeneral%2F%5FEpitaph%2FMagnolia%20Park%2F%5FPHOTOS%2FGeneral%20Use%20Photos&p=true&ga=1,,https://www.dropbox.com/scl/fo/faoxleejk3ng7azkj7p56/ADUutCQurrxFUl5QOoVzo3A?rlkey=3605g3lem4hssbdcakpjt1cb2&e=1&st=vm20vy1w&dl=0,
,High,Mar 13,The Sophs,GOLDSTAR,Album,rock alternative,,,Rough Trade,Beggars,,,,,,,,,,,
,High,Mar 13,Anjimile,You're Free To Go,Album,Alternative,,Rust & Wire,4AD,Beggars,,,,,"El cantautor indie Anjimile presenta su nuevo álbum You’re Free to Go (13 de marzo), adelantado por el sencillo final “Rust & Wire”, una pieza romántica que florece entre guitarras acústicas cálidas, texturas de sintetizador, cuerdas envolventes y delicadas capas rítmicas. El disco se consolida como un documento íntimo de autoexpresión y resonancia emocional. Producido por Brad Cook (Waxahatchee, Mavis Staples) y con aportes de miembros de Hippo Campus, Bon Iver e Iron & Wine, el proyecto ya cuenta con el respaldo de Pitchfork, Stereogum y Boston Globe, con perfiles próximos en The New York Times y SPIN. Con gira programada para 2026, Anjimile confirma su sensibilidad artística, descrita por Clash como alguien que “usa la ternura como un superpoder”.","Indie singer-songwriter Anjimile’s new LP You’re Free to Go (Mar 13), as w/ romantic final single “Rust & Wire”, blooms in warm acoustic guitars, synth textures, lush strings, & delicate rhythmic layers; an intimate document of self-expression, emotional resonance. Prod. by Brad Cook (Waxahatchee/Mavis Staples), ft. Hippo Campus, Bon Iver, Iron & Wine members. Pitchfork, Stereogum, Boston Globe support; upcoming NY Times, SPIN profiles. 2026 tour. “Uses tenderness as a superpower,” Clash.",,,,,
,High,Mar 13,Azzecca & House of Molly,Love On Me / Rollout,EP,Electronic,,Love on Me,Factory 93 Records,, spotify:album:3ScGSR9l9CAIr7NNYq5bOJ,NL8RL2601476,1867628344,8721465406887,,,https://www.dropbox.com/scl/fi/wijnwzrk9plfrfp6kbmrb/Azzecca-House-of-Molly-Love-on-Me-DSP-Edit-Master-V1-24bit.wav?rlkey=oczvx35ilc3hzqxhjm6hupbvw&st=33hohylj&dl=0,,,,
,,,,,,,,,,,,,,,,,,,,,
,High,Mar 16,Anna Calvi,Is This All There Is?,Single,"Alternative, Indie",,,Domino,,spotify:track:3hAo6PQv3Qc6wBOvqn7ytU,GBCEL2200119,1858372900,887829130497,"Is This All There Is? es un EP de 4 canciones que reúne colaboraciones entre Anna y cuatro artistas fascinantes. Incluye dos temas originales: “God’s Lonely Man”, un potente track de rock’n’roll con la voz inconfundible de Iggy Pop, y “Is This All There Is?”, una pieza etérea junto a Matt Berninger de The National, cuya versión apareció en The Souvenir Part II de Joanna Hogg. El EP se completa con dos covers: una versión dramática de “I See A Darkness” de Bonnie “Prince” Billy con Perfume Genius, y una reinterpretación de “Computer Love” de Kraftwerk junto a la legendaria Laurie Anderson.","Is This All There Is? is a 4-track EP featuring collaborations between Anna and four very exciting artists. There are two original tracks: firstly, an absolute humdinger of a rock’n’roll track called ‘God’s Lonely Man’ that features vocals from the one and only Iggy Pop and, secondly, ‘Is This All There Is?’, a dreamy number featuring Matt Berninger of The National. A version of the latter appeared in Joanna Hogg’s The Souvenir Part II. There are also two covers: one is a dramatic rendering of our very own Bonnie ‘Prince’ Billy’s classic ‘I See A Darkness’ featuring vocals from Perfume Genius and the other is a reinterpretation of Kraftwerk’s ‘Computer Love’ alongside the legendary Laurie Anderson.",https://delivery.dominomusic.com/c6889a0eb6fb731c57,,,,
,High,Mar 16,Kelsey Lu,Running To Pain,Single,Alternative,Jun 12,,Dirty Hit,,"spotify:track:3TcuyO1stSlzxMQRb14M16 
",GBK3W2503418,1876521161,823375016243,"Kelsey Lu — artista, compositora, intérprete, chelista y productora aclamada por la crítica — regresa con “Running To Pain”, el primer sencillo de su segundo álbum SO HELP ME GOD, que se lanzará en junio de 2026 a través de Dirty Hit.
Coproducido por Jack Antonoff y Yves Rothman, y con colaboraciones de Sampha, Kamasi Washington y Kim Gordon, el álbum marca su trabajo más expansivo hasta la fecha. Tras su revolucionario debut de 2019, BLOOD, Lu se adentra aún más en un territorio audaz y cargado de emoción.","Kelsey Lu — critically acclaimed artist, composer, performer, cellist and producer — returns with “Running To Pain,” the first single from her second album SO HELP ME GOD, out June 2026 via Dirty Hit.
Co-produced by Jack Antonoff and Yves Rothman, and featuring Sampha, Kamasi Washington and Kim Gordon, the album marks her most expansive work to date. Following her groundbreaking 2019 debut BLOOD, Lu pushes further into bold, emotionally charged territory",https://s.disco.ac/stdunhjavugx,,,,
,High,Mar 17,Thundercat,ThunderWave (feat. WILLOW),Single,alternative,,,Brainfeeder,NInja Tune,,,,,,,,,,,
,High,Mar 20,The Hu,Warrior Chant,Single,"hard rock, metal",,,Better Noise ,,,,,,,,,,,,
,High,Mar 20,The Hu,The Men,Single,"hard rock, metal",,,Better Noise ,,,,,,,,,,,,
,High,Mar 20,Anna Calvi,Is This All There Is?,EP,"Alternative, Indie",,Is This All There Is?,Domino,,spotify:album:3JTHrXz9cBliBiIAWMMKgQ,GBCEL2200119,1858372900,887829132866,"Is This All There Is? es un EP de 4 canciones que reúne colaboraciones entre Anna y cuatro artistas fascinantes. Incluye dos temas originales: “God’s Lonely Man”, un potente track de rock’n’roll con la voz inconfundible de Iggy Pop, y “Is This All There Is?”, una pieza etérea junto a Matt Berninger de The National, cuya versión apareció en The Souvenir Part II de Joanna Hogg. El EP se completa con dos covers: una versión dramática de “I See A Darkness” de Bonnie “Prince” Billy con Perfume Genius, y una reinterpretación de “Computer Love” de Kraftwerk junto a la legendaria Laurie Anderson.","Is This All There Is? is a 4-track EP featuring collaborations between Anna and four very exciting artists. There are two original tracks: firstly, an absolute humdinger of a rock’n’roll track called ‘God’s Lonely Man’ that features vocals from the one and only Iggy Pop and, secondly, ‘Is This All There Is?’, a dreamy number featuring Matt Berninger of The National. A version of the latter appeared in Joanna Hogg’s The Souvenir Part II. There are also two covers: one is a dramatic rendering of our very own Bonnie ‘Prince’ Billy’s classic ‘I See A Darkness’ featuring vocals from Perfume Genius and the other is a reinterpretation of Kraftwerk’s ‘Computer Love’ alongside the legendary Laurie Anderson.",https://delivery.dominomusic.com/bc4dcf47cc329342b2,,,,
,High,Mar 20,Alan Braxe & Fred Falke,Intro (25th Anniversary),EP,Electronic,,,Smugglers Way,Domino,spotify:track:1ILzzSYz9IXpVRdNqL2sdE,GBCEL2500674,1861552657,192152092467,,,https://delivery.dominomusic.com/8324d3f4a203f8a44a,,,,
,High,Mar 20,U.S. Girls,Dead Lover,Single,Alternative,,,4AD,Beggars,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Med,Mar 23,Future Islands,TBD 2 Track Single,Single,Alternative,,,4AD,Beggars,,,,,,,,,,,
,Med,Mar 24,Death Lens,Debt Collector,Single,"Rock, Alternative, Punk",Apr 24,,Epitaph,,,USEP42541012,,0045778816071,,,https://jumpshare.com/share/MThe9ef2sWybCtOJqntOVTEIk,,,,
,High,Mar 24,Courtney Barnett,One Thing At A Time,Single,,,,,,,,,,,,,,,,
,High,Mar 27,Tom Misch,Full Circle ,Album,"indie, alternative ",,Goldie,AWAL ,,,,,,,,,,,,
,High,Mar 27,Robyn,Sexsitential,Album,dance pop,,Sucker for Love,Young,Beggars,,,,,,,,,,,
,High,Mar 27,Courtney Barnett,Creature Of Habit,Album,,,,Mom+Pop,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,High,Mar 31,Dry Cleaning,Sliced by a Fingernail,Single,,,,,,,,,,,,,,,,
,High,April 10,Yellowcard,Bedroom Posters (feat. Blippi),,,,,,Better Noise,,,,,,,,,,,
,High,April 10,Laufey,A Matter of Time: The Final Hour,Album,pop,,Madwoman,,AWAL,,,,,,,,,,,
,High,Apr 2,Social Distortion,The Way Things Were,Single,"Rock, Punk",May 8,,Epitaph,,,,,,,,,,,,
,High,Apr 3,Thundercat,Distracted,Album,alternative,,Funny Friends (feat A$AP Rocky),Brainfeeder,NInja Tune,,GBCFB2500365,,5054429208733,,,,,,,
,High,Apr 3,Good Kid ,Can We Hang Out Sometime? ,Album,"indie rock, pop",,Ginger Lemonade ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,High,Apr 8,American Football,NO FEELING (feat Brendan Yates),Single,"alternative, rock",May 1,,,,,,,,,,,,,,
,High,Apr 10,TIGA,HOT WIFE,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,High,Apr 14,Jalen Ngonda ,Hang It On the Shelf,Single,,June 5th ,,,,,,,,,,,,,,
,High,Apr 15,The Menzingers,Chance Encounters,Single,"Rock, Punk",,,Epitaph,,,,,,,,,,,,
,High,Apr 17,From Ashes To New,Reflections,Album,"hard rock, metal",,,Better Noise ,,,,1860126452,810202534308,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Med,Apr 20,Death Lens,Waiting To Know (feat. Militarie Gun),Single,"Rock, Alternative, Punk",Apr 24,,Epitaph,,spotify:track:3COerH8qeZERHv69TypVPT,USEP42541004,1860695364, 0045778816088,,,https://epita.ph/4oIFCSj,,,,
,Med,Apr 24,Death Lens,What's Left Now?,Album,"Rock, Alternative, Punk",,Waiting To Know (feat. Militarie Gun),Epitaph,,spotify:album:06cs9heiNyqq8voYtnDnzF,USEP42541004,1860695364,0045778816064,,,https://epita.ph/3YregoZ,,,,
,,,,,,,,,,,,,,,,,,,,,
,High,May 1,Maya Hawke,ALBUM RELEASE TBC,Album,"alternative, rock",,,,,,,,,,,,,,,
,High,May 1,American Football,LP4,Album,"alternative, rock",,TBC,Polyvinyl ,,,,,,,,"American Football - Selections from 'LP4'
Watermark: https://s.disco.ac/rwnhemeuugjx
Password: LP4af!",,,,
,High,May 5,Croz Boyce,Croz Boyce,Album,Alternative,,,Domino,,spotify:album:1DqAB49q6QhkUxs2qguMBj,,1875867980,887828057368,,,https://delivery.dominomusic.com/c5126772806f173fa7,,,,
,High,May 8,Social Distortion,Born To Kill,Album,"Rock, Punk",,,Epitaph,,,,,,,,,,,,
,High,May 22,Future Island,From a Hole in the Floor to a Fountain of Youth,Album,"alternative, rock",,,4AD,Beggars,,,,,,,,,,,
,High,May 22,Bleachers,Everyone for ten minutes,Album,"alternative, pop",,,Dirty Hit,Virgin,,,,,,,https://s.disco.ac/uosnzmuodxhp,,,,
,High,Jun 2,Jalen Ngonda ,Burning Temptation,Single,,,,,,,,,,,,,,,,
,High,Jun 3,The Menzingers,The Fool,Single,"Rock, Punk",,,Epitaph,,,,,,,,,,,,
,High,Jun 5,Jalen Ngonda ,Doctrine of Love,Album,,,,,,,,,,,,,,,,
,High,Jun 12,Kelsey Lu,So Help Me God,Album,,,Cutting Off The Head Of A Ghost,Dirty Hit,,spotify:album:1NRIhAmDSsF25lFAwv4pDt,,1876521144,823375003397,,,,,,,
